33170;12.6526;45.9476
33010;13.1228;46.1586
33010;13.1838;46.1146
33010;13.1348;46.3734
33017;13.1983;46.195
33017;13.2151;46.2125
33030;12.9882;46.0857
33048;13.3963;45.9412
33050;13.4164;45.8056
33050;13.2608;45.9161
33050;13.177;45.9964
33050;13.2169;46.0075
33050;13.0908;45.9831
33051;13.3678;45.7683
03011;13.3207;41.756
03030;13.675;41.6679
03035;13.8254;41.6948
03049;13.8776;41.5223
04010;13.1834;41.524
04018;13.0618;41.5003
04019;13.1946;41.3339
04020;13.6911;41.3059
02010;13.1493;42.5651
02023;13.1326;42.243
02024;13.1171;42.2281
02030;12.9643;42.1586
02033;12.8442;42.2273
02034;12.7008;42.2535
02040;12.6984;42.2942
02040;12.6813;42.385
02043;12.7034;42.3766
02046;12.4739;42.3313
00013;12.6181;41.9977
00020;13.0523;41.9596
00166;12.5113;41.8919
00189;12.5113;41.8919
01010;11.7264;42.5493
16010;8.7489;44.4457
16014;8.8773;44.5124
16014;8.8773;44.5124
16031;9.0693;44.3807
16039;9.3968;44.2732
16046;9.3767;44.3827
16135;8.9444;44.4048
16138;8.9444;44.4048
16155;8.8305;44.4272
18017;7.9313;43.8677
18020;7.9539;43.9327
19010;9.5659;44.301
19012;9.6011;44.2829
19020;9.7881;44.2073
19132;9.7952;44.0746
17014;8.2777;44.3979
17037;8.066;44.0559
24018;9.6608;45.8941
24019;9.6882;45.7842
24020;10.0953;45.998
24020;9.8447;45.8631
24020;10.0149;46.0235
24030;9.5502;45.7196
24030;9.534;45.8352
24040;9.5023;45.6571
24040;9.7587;45.4768
24040;9.5277;45.6676
24050;9.7037;45.5126
24060;10.0352;45.7387
25011;10.4132;45.4769
25020;10.0762;45.4192
25022;9.9682;45.348
25040;10.2364;45.9149
25040;10.0954;45.6335
25050;10.4814;46.2513
25060;10.3696;45.8126
25061;10.2701;45.7912
25064;10.1553;45.5872
25070;10.4078;45.6783
25080;10.3881;45.546
25086;10.3173;45.5118
25129;10.2147;45.5356
25133;10.2147;45.5356
25135;10.2147;45.5356
22010;9.0369;46.0232
22010;9.1314;45.9117
22019;9.2161;45.9842
22020;8.9793;45.8047
22020;9.1805;45.9046
22060;9.1311;45.7105
22063;9.1544;45.7334
22070;9.1316;45.7693
22070;8.9223;45.7822
22070;8.9833;45.7048
22070;8.9096;45.7991
22073;9.0765;45.7439
22076;8.9564;45.6747
26010;9.6729;45.3334
26010;9.613;45.3612
26010;9.724;45.4057
26020;9.8095;45.2438
26028;9.9141;45.1765
26030;10.3571;45.0813
26040;10.0508;45.0904
26040;10.3157;45.0724
26046;10.1764;45.0673
23807;9.4208;45.6886
23868;9.3582;45.8463
23886;9.3643;45.7624
23895;9.2668;45.7564
26825;9.5897;45.265
26844;9.7419;45.1898
26854;9.4732;45.2747
26854;9.4584;45.2633
26861;9.6804;45.1413
20823;9.1282;45.6685
20833;9.233;45.6785
20851;9.2398;45.6124
20865;9.346;45.6008
20874;9.4637;45.6165
20031;9.0757;45.5959
20070;9.3391;45.33
20079;9.1585;45.3592
20083;9.0137;45.4174
20091;9.1892;45.5379
20151;9.1895;45.4643
20153;9.1895;45.4643
46014;10.634;45.1623
46020;11.0458;45.038
46025;11.1042;44.9669
